image_couple_name,pair,preprocessing,bin,method,tx,residuo_tx,ty,residuo_ty,theta,residuo_theta,residuo_diag
zh3_01_02,c2,hsv_v,64,powell,-17.446312832262002,-0.00816,11.581100447865197,0.17548,-0.08477,0.00106,0.17566711961934967
zh3_01_02,c2,hsv_v,64,Nelder-Mead,-17.388836515994903,0.04931,11.479712247149934,0.07409,-0.08442,0.00141,0.08900017567947094
zh3_01_02,c2,hsv_v,128,powell,-17.45667631152029,-0.01853,11.359152924818119,-0.04647,-0.08393,0.0019,0.050026962711722855
zh3_01_02,c2,hsv_v,128,Nelder-Mead,-17.534117203029687,-0.09597,11.53802176074717,0.1324,-0.08495,0.00088,0.16352094891406016
zh3_01_02,c2,hsv_v,256,powell,-17.66024493174823,-0.22209,11.742034469538396,0.33641,-0.08561,0.00022,0.40311133608928157
zh3_01_02,c2,hsv_v,256,Nelder-Mead,-17.448687369300902,-0.01054,11.622100852736907,0.21648,-0.08457,0.00126,0.21673407730310654
zh3_01_02,c2,pca,64,powell,-17.310971390761793,0.12718,11.316844963462046,-0.08878,-0.0836,0.00223,0.15509987418071985
zh3_01_02,c2,pca,64,Nelder-Mead,-17.459318869481265,-0.02117,11.514624618006792,0.109,-0.08435,0.00148,0.11103807033391563
zh3_01_02,c2,pca,128,powell,-17.580661808757043,-0.14251,11.563725513437419,0.1581,-0.08497,0.00086,0.21285200118166234
zh3_01_02,c2,pca,128,Nelder-Mead,-17.550175172799307,-0.11203,11.617806234261167,0.21218,-0.08492,0.00091,0.23994022972305118
zh3_01_02,c2,pca,256,powell,-17.73938630085489,-0.30124,11.743126072742967,0.3375,-0.08526,0.00057,0.45238427838347217
zh3_01_02,c2,pca,256,Nelder-Mead,-17.573722519104336,-0.13557,11.579420588687668,0.1738,-0.08464,0.00119,0.22042110205602888
zh3_01_02,c2,gray-gauss-3,64,powell,-17.645158468231802,-0.20701,11.652518600056396,0.2469,-0.08583,-0.0,0.32219539670306213
zh3_01_02,c2,gray-gauss-3,64,Nelder-Mead,-17.260298865993505,0.17785,11.250290278795603,-0.15533,-0.08331,0.00252,0.2361341371396055
zh3_01_02,c2,gray-gauss-3,128,powell,-17.502941245610963,-0.06479,11.404920760127538,-0.0007,-0.08388,0.00195,0.06479498062599869
zh3_01_02,c2,gray-gauss-3,128,Nelder-Mead,-17.655290569422267,-0.21714,11.284573582859593,-0.12105,-0.08434,0.00149,0.24860204527860094
zh3_01_02,c2,gray-gauss-3,256,powell,-17.456877207084794,-0.01873,11.620949579103183,0.21533,-0.0843,0.00153,0.21613932163825814
zh3_01_02,c2,gray-gauss-3,256,Nelder-Mead,-17.288572905989234,0.14958,11.368206519899871,-0.03742,-0.08374,0.00209,0.15418601575555446
zh3_01_02,c2,hsv_v-gauss-3,64,powell,-17.41073422445224,0.02742,11.473473886523607,0.06785,-0.08395,0.00188,0.07318032836787731
zh3_01_02,c2,hsv_v-gauss-3,64,Nelder-Mead,-17.3260283337696,0.11212,11.427592017871604,0.02197,-0.08391,0.00192,0.1142537449088058
zh3_01_02,c2,hsv_v-gauss-3,128,powell,-17.673878039242258,-0.23573,11.551275134435286,0.14565,-0.08502,0.00081,0.2770960040866666
zh3_01_02,c2,hsv_v-gauss-3,128,Nelder-Mead,-17.664481808757046,-0.22633,11.488495513437414,0.08287,-0.08497,0.00086,0.2410267524401797
zh3_01_02,c2,hsv_v-gauss-3,256,powell,-17.345475507273306,0.09267,11.293115495103649,-0.11251,-0.0835,0.00233,0.1457619008353797
zh3_01_02,c2,hsv_v-gauss-3,256,Nelder-Mead,-17.45241142503936,-0.01426,11.574951787074497,0.16933,-0.0845,0.00133,0.16992821095541608
zh3_01_02,c2,pca-gauss-3,64,powell,-17.647365563972706,-0.20922,11.441268881513594,0.03565,-0.08418,0.00165,0.2122304064759869
zh3_01_02,c2,pca-gauss-3,64,Nelder-Mead,-17.765431425039385,-0.32728,11.251921787074508,-0.1537,-0.0845,0.00133,0.36157595639418233
